Sex,role,dataset,acton,About
Male,a,ew,Pass,a scam. gettin me to get less money
Female,b,ew,Pass,A situation in which you have power over someone else.
Male,b,ew,Pass,A situation of fairness and trust between to people who do not know each other.  Trusted one another to do the fair thing.
Female,b,ew,Pass,A stranger walking up to you and asking for money with some lame excuse/story for why he/she needs it.
Male,b,ew,Hold,An easter egg hunt.
Male,b,ew,Hold,Annonoumously finding 20 dollars and keeping it for myself. Having little to no connection to the person who lost it helps to releive any guilt associated.
Female,a,ew,Hold,Any situation in which one must trust a complete stranger.
Male,b,ew,Hold,Any sort of situation in which you have power over someone.  It's a test of generosity that I suppose I failed.
Male,b,ew,Pass,Deciding what to buy and how much you want to spend on somthing
Female,b,ew,Pass,"Deciding whether or not a person is trustworthy.  Like a bank deciding whether or not to extend a loan.  Or even a company deciding whether to hire a candidate or not.  Basically, deciding things o"
Male,a,ew,Pass,Deciding whether or not to loan money to someone that isn't a close friend.
Male,a,ew,Hold,economics class...every person acts in their own self-interest...
Female,b,ew,Pass,"Equity. what's fair.  Though I'm not sure about the way the question was stated... certainly if I'd been loaned $20, I'd return it all when it was said and done.  I don't know that the problem remi"
Female,a,ew,Hold,Gambling
Female,b,ew,Hold,Going into a business venture with a friend
Female,a,ew,Pass,"Guessing what a participant on a game show will wager or risk; It is just another situation in which I think about what I would do, then think what most people would do and decide that way--my choi"
Male,a,ew,Hold,"Having recently studied game theory in my introductory economics class, this situation reminded me of a slightly more intricate example of the prisoner's dilemma."
Female,b,ew,Pass,"Helping someone out that you dont know, just out of the goodness of your heart, or maybe making an anonymous donation to a charity."
Male,a,ew,Pass,i beleive in the innate goodness of people...and figured we both get equal and adequate value if we both give each other the money...
Female,b,ew,Pass,"I believe that the decision I made was in the best interest for both parties. I was given money, and I split it evenly among the parties involved. This situation reminds me of a government. A gover"
Female,a,ew,Pass,I felt like I was gambling.  I think this is probably related in some way to the personal questions about risk-taking.
Male,a,ew,Pass,I had to trust that my counterpart would make a fair decision that would allow both of us to earn the same amount of money.This reminds me of the way I have to trust my friends when I depend on the
Male,a,ew,Pass,I immediately thought of the stock market.
Female,a,ew,Pass,"I only supposed that if we each got ten dollars, it'd be a double win situation."
Female,a,ew,Hold,I suppose this is a test to see if a person is a risk taker or risk averse.  It sort of reminds me in a way (I could be totally off) of game theory.
Male,a,ew,Pass,I think the problem is probing what a person's values are in relation to their personality.
Female,b,ew,Pass,"i thought it would be more fair if we both received what we earned. we worked for it, we should receive it."
Male,b,ew,Pass,i wanted to return the favor that they loaned me money so i wanted to show that i was thankful
Female,b,ew,Pass,I was afraid that if I wanted to keep too much of the loan then my request would be denied and if I chose to give my partner too much then I wouldn't get very much money.  It seemed like it had to
Female,b,ew,Pass,"i would loan the money to the other student. at the end it's not your money from your pocket



i believe however, you guys told them something different, so he or she did not loan the money"
Male,a,ew,Pass,"if you can predict the behavior of a person based on what a person looks like he or she would do, it's pretty tricky



"
Male,a,ew,Pass,investing money (stock market)
Male,a,ew,Pass,It doesn't remind me of any kind of situation. It just makes me realize how greedy people are.
Male,a,ew,Pass,"It doesn't remind me of any situation in particular, but the closest thing I can think of is the Prisoner's dilemma."
Female,a,ew,Pass,It is kind of similar to the risk you might take making an investment in the stock market.
Male,a,ew,Hold,It is like the stories u hear about people dating online wihtout seeing thm
Male,b,ew,Pass,"It is the type of situation where you have to be willing to give in order to receive. You have to take a chance, and hope that the other will take a chance also, and maybe both people will benefit."
Male,b,ew,Hold,it makes me think about when i ask for money from my friend and he doesnt give it to me.
Female,b,ew,Pass,"It reminded me of taking out a loan, investing the money, and paying off the loan out of the returns of the investment."
Male,b,ew,Pass,It reminds me a little of gambling because i had no idea how much money i would recieve
Female,b,ew,Pass,"It reminds me of a ""take the money and run"" situation; maybe like a bank robbery in some ways.  My partner gave me $10, and I got to choose how much I wanted to keep."
Female,a,ew,Pass,"It reminds me of a lot of situations you might find on a college campus, as my friends and I are often low on cash and borrow from each other often, and we just have to trust that we'll get paid ba"
